Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,HFE,Very Short-lived Compounds,Non-Fluorinated Chemicals,Minerals,Electronics Manufacturing,year,state,Waste/Metals/Pulp and Paper/Miscellaneous Combustion,Power Plants/Petroleum and Natural Gas Systems
Lead Production,76389.1,8.5,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,76406.54000000001,0.0
Military,37880.7,18.5,23.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,37922.742,0.0
Municipal Landfills,9549.7,1862801.0,689.5719999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,1873040.272,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",18341.6,1422065.0,1.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,0.0,1440407.792
Natural Gas Transmission/Compression,354542.7,36631.5,198.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,0.0,391372.966
Other Chemicals,184662.8,87.0,104.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184853.802,0.0,0.0,2013,NY,0.0,0.0
Other Combustion,843679.7,502.0,878.2059999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,845059.9060000001,0.0
Other Manufacturing,173808.1,123.5,317.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,174249.566,0.0
Other Metals,299085.4,142.5,301.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,299529.476,0.0
Other Minerals,211708.3,240.5,368.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212317.128,0.0,2013,NY,0.0,0.0
Other Paper Producers,240788.9,113.0,132.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,241034.51,0.0
Other Petroleum and Natural Gas Systems,31150.9,14.75,17.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,0.0,31183.53
Power Plants,32402046.0,35474.24999999999,58338.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,0.0,32495858.81600001
Pulp and Paper Manufacturing,90987.1,517.5,2604.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,94109.12000000001,0.0
