year,iso_3166_2,total
2014,DE,8186041.314
2015,DE,8063425.029000001
2016,DE,8342848.902000001
2017,DE,7058401.103
2018,DE,7028681.76
2019,DE,5947428.81
2020,DE,5907313.134
2011,FL,141029830.35186604
2012,FL,133286498.40078409
2013,FL,129202943.421
2014,FL,134951344.3020498
2015,FL,132824185.72517797
2016,FL,134231122.8306747
2017,FL,132059234.42352317
2018,FL,133277389.44333671
2019,FL,119939753.36700001
2020,FL,120167406.07500003
2011,GA,87253613.22734898
2012,GA,75161621.57015198
2013,GA,73596641.35800001
2014,GA,79015849.286
2015,GA,74391893.51000002
2016,GA,75555429.302
2017,GA,68719669.50199999
2018,GA,69383563.768
2019,GA,65910186.462
2020,GA,53564878.14400001
2011,HI,9794504.21845
2012,HI,9486147.213314997
2013,HI,8872298.428
2014,HI,9043135.697999999
2015,HI,8899752.398
2016,HI,8669801.718
2017,HI,8190031.022
2018,HI,8192002.508000002
2019,HI,8019629.806
2020,HI,7126560.558
2011,IA,59843017.43422201
2012,IA,56626299.355092004
2013,IA,54517369.879999995
2014,IA,54956867.60800001
2015,IA,50336322.746
2016,IA,46318607.582
2017,IA,50411957.755
2018,IA,55720593.696
2019,IA,49087069.52599999
2020,IA,40363526.394
2011,ID,3466260.8425999996
2012,ID,3744867.7136000004
2013,ID,4771471.0813
2014,ID,4217627.075819001
2015,ID,4913077.047304
2016,ID,4598784.820743
2017,ID,4436820.429725001
2018,ID,4409184.365513001
2019,ID,5163298.220501001
2020,ID,5011254.710489
2011,IL,137145188.33020583
2012,IL,130446457.94067883
2013,IL,134195657.49759999
2014,IL,131925699.73920001
2015,IL,120045475.77169997
2016,IL,106952112.4429
2017,IL,101913329.92239998
2018,IL,105624942.81820002
2019,IL,96505596.8796
2020,IL,77565617.5774
2011,IN,165211632.292021
2012,IN,154913957.467973
2013,IN,155848945.30999997
2014,IN,160048335.53819698
2015,IN,141785851.87119696
2016,IN,138470428.39277303
2017,IN,135930318.749788
2018,IN,143370374.068
2019,IN,127962990.06899998
2020,IN,111725023.47200003
2011,KS,48820026.084875
2012,KS,45188104.889658995
2013,KS,46481874.11199999
2014,KS,45815925.817999996
2015,KS,41143646.222
2016,KS,39906826.036000006
2017,KS,35733396.33200001
2018,KS,37411435.743999995
2019,KS,34275070.38999999
2020,KS,32818285.946000002
2011,KY,121917514.4584906
2012,KY,111103972.92177512
2013,KY,110050638.53338
2014,KY,110586910.32376
2015,KY,99796295.557
2016,KY,91605355.88700001
2017,KY,84017197.79350002
2018,KY,86412239.465
2019,KY,78493854.18600002
2020,KY,66500652.70200001
2011,LA,144745412.79853818
2012,LA,140846630.93761906
2013,LA,137114440.51999998
2014,LA,137571749.22
2015,LA,138709523.0062
2016,LA,139596077.35599998
2017,LA,140822555.36100003
2018,LA,145199837.74946058
2019,LA,146806652.33781686
2020,LA,135848623.76186353
2011,MA,18871979.131873
2012,MA,16498966.561365802
2013,MA,16956119.877800003
2014,MA,15091785.677120002
2015,MA,15455641.734515999
2016,MA,14686871.634394003
2017,MA,14110141.735576
2018,MA,11701011.022773001
2019,MA,9875750.700576002
2020,MA,9381631.181985
2011,MD,31176600.687476195
2012,MD,25191968.377999995
2013,MD,23293744.62599999
2014,MD,25714078.02
2015,MD,22846047.218000002
2016,MD,22762062.222
2017,MD,17916847.033999998
2018,MD,22666275.902000006
2019,MD,18763995.12
2020,MD,15973726.130000003
2011,ME,5875354.195577
2012,ME,5189692.446688
2013,ME,4570384.0748000005
2014,ME,4726595.128373001
2015,ME,4079840.292391
2016,ME,3686022.1538629998
2017,ME,3072810.182105
2018,ME,3191250.1700870004
2019,ME,2922945.0757649993
2020,ME,2894166.756192
2011,MI,94715536.42705281
2012,MI,92906156.83416007
2013,MI,92778738.01540002
2014,MI,88878273.48
2015,MI,90531642.69299002
2016,MI,83231069.62200002
2017,MI,82352042.3272
2018,MI,85383399.6802
2019,MI,79413865.51000002
2020,MI,66994180.881999984
2011,MN,47376333.39296141
2012,MN,42679508.548543565
2013,MN,43318518.9909072
2014,MN,47169791.1486938
2015,MN,43318867.4856649
2016,MN,42749298.43026199
2017,MN,42956067.13182899
2018,MN,44758603.30335029
2019,MN,40122009.6235631
2020,MN,34929605.03276951
2011,MO,95049285.00406326
2012,MO,88539738.58019459
2013,MO,89765464.98199998
2014,MO,86819909.98500001
2015,MO,80393278.154
2016,MO,75322438.25319703
2017,MO,81565786.287983
2018,MO,79213109.26199998
2019,MO,71761422.97399999
2020,MO,68414567.116
2011,MS,35878586.511775
2012,MS,36717807.02109001
2013,MS,35964160.18400001
2014,MS,37892706.23300001
2015,MS,40108718.158999994
2016,MS,41292083.18800001
2017,MS,39694478.73600002
2018,MS,41778600.144999996
2019,MS,40140656.331999995
2020,MS,41245801.836
2011,MT,21920230.344
2012,MT,21180688.824
2013,MT,21888188.432
