Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,Power Plants,Petroleum and Natural Gas Systems,Non-Fluorinated Chemicals,Waste,Minerals,Pulp and Paper,Miscellaneous Combustion,Electronics Manufacturing,year,state
Solid Waste Combustion,1139760.2,25420.75,39774.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204955.904,0.0,0.0,0.0,0.0,2013,MA
Universities,522810.9,255.5,334.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523400.7559999999,0.0,2013,MA
Electronics Manufacturing,27993.8,13.25,4773.364,2384.28,56197.77502,17911.68,10567.68,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141925.75312,2014,MA
Food Processing,33062.9,15.25,18.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33096.328,0.0,2014,MA
Glass Production,42275.0,17.75,21.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42313.908,0.0,0.0,0.0,2014,MA
Lime Manufacturing,156723.7,65.0,105.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156893.894,0.0,0.0,0.0,2014,MA
Liquefied Natural Gas Imp./Exp. Equipment,17728.0,327.0,9.536,0.0,0.0,0.0,0.0,0.0,0.0,18064.536,0.0,0.0,0.0,0.0,0.0,0.0,2014,MA
Military,31610.3,17.75,27.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31655.466,0.0,2014,MA
Municipal Landfills,2485.8,350844.25,99.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353429.284,0.0,0.0,0.0,0.0,2014,MA
"Natural Gas Distribution, Natural Gas Local Distribution Companies",11906.7,745151.75,3.874,0.0,0.0,0.0,0.0,0.0,0.0,757062.324,0.0,0.0,0.0,0.0,0.0,0.0,2014,MA
Natural Gas Transmission/Compression,65617.6,8617.5,36.952,0.0,0.0,0.0,0.0,0.0,0.0,74272.052,0.0,0.0,0.0,0.0,0.0,0.0,2014,MA
Other Chemicals,121562.4,57.5,68.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121688.738,0.0,0.0,0.0,0.0,0.0,2014,MA
Other Combustion,27320.7,15.25,24.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27360.386,0.0,2014,MA
Other Manufacturing,369434.3,509.25,837.9759999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370781.526,0.0,2014,MA
Other Minerals,40582.7,19.0,22.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40624.348,0.0,0.0,0.0,2014,MA
Other Paper Producers,51659.7,25.0,31.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51716.28799999999,0.0,0.0,2014,MA
Power Plants,11078588.9,11958.0,19363.146,0.0,0.0,0.0,0.0,0.0,11109910.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,MA
Solid Waste Combustion,1175858.7,25454.5,39828.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241142.092,0.0,0.0,0.0,0.0,2014,MA
Universities,519219.6,265.25,363.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519848.708,0.0,2014,MA
Electronics Manufacturing,20788.0,9.75,2087.788,1025.295,50488.038516,9003.720000000001,2476.8,3560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89439.44551599999,2015,MA
Food Processing,16010.4,7.5,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16026.84,0.0,2015,MA
Glass Production,41208.5,18.25,21.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41248.504,0.0,0.0,0.0,2015,MA
Lime Manufacturing,155164.2,58.5,96.25399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155318.954,0.0,0.0,0.0,2015,MA
Liquefied Natural Gas Imp./Exp. Equipment,34859.4,333.0,18.774,0.0,0.0,0.0,0.0,0.0,0.0,35211.174,0.0,0.0,0.0,0.0,0.0,0.0,2015,MA
Military,28008.7,17.25,28.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28054.856,0.0,2015,MA
Municipal Landfills,2192.5,361074.5,89.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363356.996,0.0,0.0,0.0,0.0,2015,MA
"Natural Gas Distribution, Natural Gas Local Distribution Companies",14911.3,725061.25,23.84,0.0,0.0,0.0,0.0,0.0,0.0,739996.39,0.0,0.0,0.0,0.0,0.0,0.0,2015,MA
Natural Gas Transmission/Compression,70935.7,7278.25,39.634,0.0,0.0,0.0,0.0,0.0,0.0,78253.584,0.0,0.0,0.0,0.0,0.0,0.0,2015,MA
Other Chemicals,119655.8,55.75,66.45400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119778.004,0.0,0.0,0.0,0.0,0.0,2015,MA
Other Combustion,28486.5,15.5,22.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28524.35,0.0,2015,MA
